#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
1011.053739	38.803085
1011.084230	36.811409
1011.114722	31.278519
1011.145215	29.563202
1011.175710	27.202825
1011.206206	21.502674
1011.236703	19.552815
1011.267202	20.667602
1011.297702	31.033882
1011.328203	40.638785
1011.358706	46.636182
1011.389211	48.726946
1011.419716	45.266931
1011.450223	39.608957
1011.480732	39.304334
1011.511242	34.137397
1011.541753	31.791751
1011.572265	30.613384
1011.602779	34.324842
1011.633295	38.367842
1011.663811	38.011000
1011.694329	31.252631
1011.724849	22.681267
1011.755370	16.893777
1011.785892	18.906386
1011.816415	23.580640
1011.846940	23.577227
1011.877467	17.547512
1011.907995	12.632947
1011.938524	10.903162
1011.969054	13.250796
1011.999586	17.304732
1012.030119	17.971484
1012.060654	20.206389
1012.091190	22.170563
1012.121728	27.074264
1012.152266	25.511923
1012.182807	23.200322
1012.213348	20.259656
1012.243891	20.829893
1012.274435	22.665944
1012.304981	23.237937
1012.335528	19.787575
1012.366077	18.907124
1012.396627	21.268466
1012.427178	24.539563
1012.457730	24.959343
1012.488284	22.395757
1012.518840	16.681650
1012.549397	15.667388
1012.579955	15.288451
1012.610514	16.900124
1012.641075	17.023677
1012.671638	19.672715
1012.702201	24.332567
1012.732766	30.716348
1012.763333	29.538598
1012.793901	23.422480
1012.824470	16.785092
1012.855041	22.405434
1012.885613	30.033262
1012.916186	32.086182
1012.946761	34.444796
1012.977337	32.003916
1013.007914	31.905946
1013.038493	30.639278
1013.069074	30.713906
1013.099655	31.815806
1013.130238	34.797365
1013.160823	31.316572
1013.191409	32.221295
1013.221996	33.601045
1013.252585	34.430523
1013.283175	39.134839
1013.313766	40.025826
1013.344359	37.920803
1013.374953	34.401058
1013.405548	23.264280
1013.436145	13.124150
1013.466744	13.254872
1013.497343	20.361501
1013.527944	28.176707
1013.558547	35.171328
1013.589151	33.977520
1013.619756	30.298336
1013.650363	22.613092
1013.680971	19.061201
1013.711580	16.723837
1013.742191	17.037651
1013.772803	15.833765
1013.803417	13.870364
1013.834032	13.932221
1013.864648	16.623268
1013.895266	19.557240
1013.925885	26.960449
1013.956505	27.186107
1013.987127	24.271780
1014.017750	23.444435
1014.048375	26.863091
1014.079001	31.248451
1014.109629	33.058290
1014.140257	30.459195
1014.170888	26.936983
1014.201519	28.312023
1014.232152	25.311106
1014.262787	21.991178
1014.293422	14.292647
1014.324059	7.798929
1014.354698	4.208382
1014.385338	7.061963
1014.415979	12.802532
1014.446622	16.004006
1014.477266	16.847575
1014.507912	17.254985
1014.538558	23.075291
1014.569207	30.716817
1014.599856	35.752881
1014.630507	34.401879
1014.661160	30.847893
1014.691814	28.608839
1014.722469	29.870439
1014.753125	32.351626
1014.783783	30.571168
1014.814443	27.180293
1014.845103	24.737612
1014.875766	20.138133
1014.906429	17.146010
1014.937094	19.574359
1014.967760	28.902678
1014.998428	36.373117
1015.029097	38.944618
1015.059768	33.167065
1015.090440	25.207167
1015.121113	20.505276
1015.151788	22.016746
1015.182464	25.938966
1015.213141	23.692074
1015.243820	19.007405
1015.274500	17.750828
1015.305182	18.158803
1015.335865	26.863418
1015.366549	34.275955
1015.397235	34.050731
1015.427922	31.077385
1015.458611	29.616930
1015.489301	26.144701
1015.519992	25.515412
1015.550685	25.765327
1015.581379	27.080153
1015.612074	26.777772
1015.642771	22.875997
1015.673470	18.271178
1015.704169	14.148875
1015.734870	19.395474
1015.765573	25.141680
1015.796277	30.175595
1015.826982	37.608896
1015.857689	45.697026
1015.888397	49.150549
1015.919106	43.423901
1015.949817	29.457550
1015.980529	16.069130
1016.011243	14.598107
1016.041958	13.653853
1016.072674	12.367490
1016.103392	10.160569
1016.134111	13.200495
1016.164832	13.187192
1016.195554	19.710644
1016.226277	26.865590
1016.257002	32.354304
1016.287728	33.784596
1016.318456	33.494161
1016.349185	27.314255
1016.379915	19.429642
1016.410647	16.244315
1016.441380	24.918709
1016.472114	36.075628
1016.502850	38.585857
1016.533588	37.641091
1016.564326	30.191761
1016.595066	21.175039
1016.625808	16.502977
1016.656551	13.463522
1016.687295	13.437317
1016.718041	18.113375
1016.748788	20.240840
1016.779536	17.200822
1016.810286	10.411136
1016.841037	2.787982
1016.871790	2.288681
1016.902544	8.783967
1016.933299	13.618997
1016.964056	15.234385
1016.994815	12.527025
1017.025574	10.470168
1017.056335	9.764689
1017.087098	10.502752
1017.117861	11.998387
1017.148627	17.370123
1017.179393	26.645168
1017.210161	36.409622
1017.240931	44.591013
1017.271701	44.995230
1017.302474	38.584012
1017.333247	28.064290
1017.364022	19.387404
1017.394799	20.977997
1017.425576	25.638116
